1Stockflaeche,2Stockflaeche,3JahreszeitenVerandaflaeche,AbgeschirmteVerandaflaeche,Aussenmaterialqualitaet,Aussenmaterialzustand,Baujahr,Bedingung1_EbNA,Bedingung1_EbNU,Bedingung1_EbOA,Bedingung1_EbOU,Bedingung1_Haup,Bedingung1_Norm,Bedingung1_PosA,Bedingung1_PosN,Bedingung1_Zubr,Bedingung2_EbNA,Bedingung2_Haup,Bedingung2_Norm,Bedingung2_PosA,Bedingung2_PosN,Bedingung2_Zubr,Dachmeterial_HolzSchd,Dachmeterial_HolzScht,Dachmeterial_KiesTeer,Dachmeterial_Metall,Dachmeterial_TonFli,Dachmeterial_VerbSch,Dachtyp_Flach,Dachtyp_Giebel,Dachtyp_GiebelS,Dachtyp_Mansarde,Dachtyp_Pult,Dachtyp_Walm,EinfahrtGepflastert_J,EinfahrtGepflastert_N,EinfahrtGepflastert_P,Elektrik_Mix,Elektrik_SLSRo,Elektrik_SichAr,Elektrik_SichDu,Elektrik_SichSc,Fundament_BetonGeg,Fundament_BetonSte,Fundament_Holz,Fundament_Platten,Fundament_Stein,Fundament_ZiegFli,Funktionalitaet,Garagenautos,Garagenflaeche,Garageninnenausbau,Garagenqualitaet,Garagentyp_2Typen,Garagentyp_Abgetr,Garagentyp_CarPort,Garagentyp_Eingeb,Garagentyp_None,Garagentyp_Tiefgar,Garagentyp_Verbund,Garagenzustand,Gebauedetyp_1Fam,Gebauedetyp_2famU,Gebauedetyp_DoppH,Gebauedetyp_StHAb,Gebauedetyp_StHau,Gelaendekontur_Ebn,Gelaendekontur_Erh,Gelaendekontur_Hng,Gelaendekontur_Snk,Gelaendeneigung,GeringequalitaetFlaeche,GeschlosseneVerandaflaeche,Grundstueckanordnung_2St,Grundstueckanordnung_3St,Grundstueckanordnung_Eck,Grundstueckanordnung_Inn,Grundstueckanordnung_SG,Grundstuecksform,Grundstuecksgroesse,Hausqualitaet,Hauszustand,Heizung_GasWD,Heizung_GasWO,Heizung_GravOf,Heizung_NGasWD,Heizung_WandOf,Heizungsqualitaet,Holzdeckflaeche,Kamine,Kaminqualitaet,KellerHalbbadezimmer,KellerVollbadezimmer,Kellerbelichtung,Kellerbereich1,Kellerbereich2,Kellerbereichgroesse1,Kellerbereichgroesse2,KellerbereichgroesseGes,KellerbereichgroesseNAu,Kellerhoehe,Kellerzustand,Klimalanlage,Kuechen,KuechenQualitaet,Mauerwerkflaeche,Mauerwerktyp_Kein,Mauerwerktyp_Stein,Mauerwerktyp_ZiegAlg,Mauerwerktyp_ZiegGla,Nachbarschaft_Altstad,Nachbarschaft_Berkers,Nachbarschaft_Bockenh,Nachbarschaft_Bornhei,Nachbarschaft_Dornbus,Nachbarschaft_Eckenhe,Nachbarschaft_Eisenba,Nachbarschaft_Flughaf,Nachbarschaft_Gallus,Nachbarschaft_Ginnhei,Nachbarschaft_Hausen,Nachbarschaft_Hochsch,Nachbarschaft_Höchst,Nachbarschaft_Kalbach,Nachbarschaft_Nied,Nachbarschaft_Nordend,Nachbarschaft_Oberrad,Nachbarschaft_Riederw,Nachbarschaft_Sachsen,Nachbarschaft_Schwanh,Nachbarschaft_Sindlin,Nachbarschaft_Sossenh,Nachbarschaft_Westend,Nachbarschaft_Wiesend,Nachbarschaft_Zeilshe,OberirdischeHalbbadezimmer,OberirdischeRaueme,OberirdischeVollbadezimmer,OberirdischeWohnflaeche,OffeneVerandaflaeche,Poolflaeche,Poolqualitaet,Schlafzimmer,SondermerkmalWert,Sondermerkmal_2Gar,Sondermerkmal_And,Sondermerkmal_None,Sondermerkmal_Schu,Sondermerkmal_Tenn,Strassenlaenge,Strassentyp_Pfla,Strassentyp_Scho,Umbaujahr,Verkaufsbedingung_Abnormal,Verkaufsbedingung_AngrLand,Verkaufsbedingung_Familie,Verkaufsbedingung_Normal,Verkaufsbedingung_Unfertig,Verkaufsbedingung_Zuweis,Verkaufsjahr,Verkaufsmonat,Verkaufspreis,Verkaufstyp_And,Verkaufstyp_GarB,Verkaufstyp_GarK,Verkaufstyp_GeBU,Verkaufstyp_Neu,Verkaufstyp_Ver,Verkaufstyp_VerA,Verkaufstyp_VerAZ,Verkaufstyp_VerZ,Verkleidung1_AsbeSch,Verkleidung1_AsphSch,Verkleidung1_BetonSt,Verkleidung1_Hartfas,Verkleidung1_Holz,Verkleidung1_HolzSch,Verkleidung1_Metall,Verkleidung1_Sperrho,Verkleidung1_Stein,Verkleidung1_Stuck,Verkleidung1_Vinyl,Verkleidung1_Zement,Verkleidung1_ZiegAlg,Verkleidung1_ZiegMau,Verkleidung2_AsbeSch,Verkleidung2_AsphSch,Verkleidung2_BetonSt,Verkleidung2_Hartfas,Verkleidung2_HlzSch,Verkleidung2_Holz,Verkleidung2_Metall,Verkleidung2_Sperrho,Verkleidung2_Stein,Verkleidung2_Stuck,Verkleidung2_StuckIm,Verkleidung2_Vinyl,Verkleidung2_ZementPl,Verkleidung2_ZiegAll,Verkleidung2_ZiegGla,Versorgung,Wohngebiet_D,Wohngebiet_G (alle),Wohngebiet_WH,Wohngebiet_WM,Wohngebiet_WN,Wohnungsklasse,Wohnungsstil_1.5U,Wohnungsstil_1.5V,Wohnungsstil_1Sto,Wohnungsstil_2.5U,Wohnungsstil_2.5V,Wohnungsstil_2Sto,Wohnungsstil_GFoy,Wohnungsstil_GSto,Zaunqualitaet_GuHol,Zaunqualitaet_GuPrv,Zaunqualitaet_MnHol,Zaunqualitaet_MnPrv,Zaunqualitaet_None,Zufahrtsweg_None,Zufahrtsweg_Pfla,Zufahrtsweg_Scho
84.96,0.0,0.0,0.0,2,2,1962,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,6,2.0,47.52,1,3,False,True,False,False,False,False,False,2,True,False,False,False,False,True,False,False,False,0,0.0,0.0,False,False,True,False,False,3,918.54,3,3,True,False,False,False,False,1,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,False,1,1,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,4,1,84.96,0.0,0.0,0,2,0.0,False,False,True,False,False,22.2,True,False,1962,False,False,False,True,False,False,2019,7,69700.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,False,False,False,False,True,20,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
98.1,0.0,0.0,0.0,2,2,2015,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,7,2.0,40.5,3,3,False,False,False,False,False,False,True,3,True,False,False,False,False,True,False,False,False,0,0.0,0.0,False,False,False,True,False,3,632.16,5,5,False,True,False,False,False,3,0.0,0,0,0.0,1.0,1,5,1,88.2,0.0,98.1,9.9,5,4,True,1,2,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,5,1,98.1,4.41,0.0,0,2,0.0,False,False,True,False,False,18.0,True,False,2016,False,False,False,True,False,False,2017,6,133450.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,False,False,False,False,True,20,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
84.6,54.9,0.0,0.0,2,2,1930,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,5,1.0,28.62,1,3,False,True,False,False,False,False,False,3,True,False,False,False,False,True,False,False,False,0,0.0,38.61,False,False,False,True,False,3,1960.2,6,5,False,True,False,False,False,3,0.0,1,3,0.0,0.0,1,1,1,0.0,0.0,73.53,73.53,3,2,True,1,2,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,7,1,139.5,0.0,0.0,0,3,0.0,False,False,True,False,False,19.8,True,False,1960,False,False,False,True,False,False,2016,9,165750.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,True,50,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
86.49,61.47,0.0,0.0,2,2,2009,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,7,2.0,41.4,2,3,False,False,False,False,False,False,True,3,True,False,False,False,False,True,False,False,False,0,0.0,0.0,False,False,False,True,False,2,868.41,6,5,False,True,False,False,False,4,41.4,1,3,0.0,0.0,1,1,1,0.0,0.0,84.69,84.69,4,3,True,1,2,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,7,2,147.96,3.78,0.0,0,3,0.0,False,False,True,False,False,17.7,True,False,2010,False,False,False,True,False,False,2017,5,157250.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,False,False,False,False,True,60,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
71.28,65.25,0.0,0.0,2,2,1939,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,7,2.0,36.0,1,3,False,True,False,False,False,False,False,3,True,False,False,False,False,False,False,True,False,1,0.0,0.0,False,False,True,False,False,2,1029.15,8,7,False,True,False,False,False,1,0.0,2,4,0.0,0.0,1,1,1,0.0,0.0,71.28,71.28,4,3,True,1,3,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,7,1,136.53,0.0,0.0,0,3,0.0,False,False,True,False,False,20.684476534296028,True,False,1960,False,False,False,True,False,False,2016,6,195500.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3,False,False,False,False,True,70,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
129.78,0.0,0.0,0.0,2,2,1980,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,7,2.0,55.35,2,3,False,False,False,False,False,False,True,3,True,False,False,False,False,True,False,False,False,0,0.0,0.0,False,False,False,True,False,2,1054.53,6,6,False,True,False,False,False,2,33.39,1,3,0.0,0.0,1,1,1,0.0,0.0,129.78,129.78,3,3,True,1,2,51.39,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,6,2,129.78,0.0,0.0,0,2,0.0,False,False,True,False,False,20.684476534296028,True,False,1980,False,False,False,True,False,False,2019,2,157250.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,True,20,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
78.12,0.0,0.0,0.0,2,2,1981,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,7,2.0,51.84,1,3,False,True,False,False,False,False,False,3,False,True,False,False,False,True,False,False,False,0,0.0,0.0,False,True,False,False,False,3,758.25,5,6,False,True,False,False,False,3,12.42,0,0,0.0,1.0,3,6,1,67.32,0.0,69.12,1.8,4,3,True,1,2,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,6,1,78.12,0.0,0.0,0,2,0.0,False,False,True,False,False,21.0,True,False,2000,False,False,False,True,False,False,2017,5,101915.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,True,190,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
94.95,0.0,0.0,0.0,2,2,1983,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,7,2.0,48.78,2,3,False,False,False,False,False,False,True,3,True,False,False,False,False,True,False,False,False,0,0.0,0.0,False,False,False,False,True,2,1144.08,6,7,False,True,False,False,False,2,40.95,1,3,0.0,1.0,2,5,1,87.12,0.0,93.96,6.84,4,3,True,1,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,5,1,94.95,0.0,0.0,0,2,0.0,False,False,True,False,False,12.9,True,False,2016,True,False,False,False,False,False,2017,1,124950.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3,False,False,False,False,True,20,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
78.21,31.41,0.0,0.0,2,3,1951,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,7,2.0,39.6,1,3,False,True,False,False,False,False,False,3,True,False,False,False,False,True,False,False,False,0,0.0,0.0,False,False,False,True,False,3,540.0,6,6,False,True,False,False,False,4,0.0,1,4,1.0,0.0,1,5,1,33.75,0.0,66.15,32.4,3,4,True,1,2,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,6,1,109.62,0.0,0.0,0,3,0.0,False,False,True,False,False,18.0,True,False,1960,False,False,False,True,False,False,2017,3,111350.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3,False,False,False,True,False,50,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
71.64,32.22,0.0,0.0,2,3,1932,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,7,1.0,21.6,1,3,False,True,False,False,False,False,False,3,True,False,False,False,False,True,False,False,False,0,0.0,0.0,False,False,False,True,False,3,489.24,4,8,False,True,False,False,False,3,0.0,0,0,0.0,1.0,1,4,1,66.15,0.0,71.64,5.49,3,3,True,1,3,0.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,7,1,103.86,8.64,0.0,0,3,0.0,False,False,True,False,False,12.0,True,False,2017,False,False,False,True,False,False,2020,5,106675.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,False,False,False,True,False,50,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
